TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
DRC,Dresser-Rand Group Inc ,,1316656,5/8/2015
DRD,DRDGOLD Ltd,,1023512,
DRE,Duke Realty Corp,,783280,4/28/2017
DRH,DiamondRock Hospitality Co,,1298946,5/5/2017
DRI,Darden Restaurants Inc,CY1NFSCCB5GUXC7WZC70,940944,4/4/2017
DRII,Diamond Resorts International Inc,5493008MIJR7VMQP7U77,1566897,8/9/2016
DRIO,Labstyle Innovations Corp,,1533998,5/15/2017
DRNA,Dicerna Pharmaceuticals Inc,549300CTZMJMPH28WN39,1399529,5/8/2017
DRQ,Dril-Quip Inc,,1042893,4/27/2017
DRR,Market Vectors Double Short Euro ETN,,,
DRRX,DURECT Corp,,1082038,5/10/2017
DRWI,DragonWave Inc,549300JKU54LY0BOZA62,1178946,
DRYS,DryShips Inc,,1308858,
DS,Newcastle Investment Corp,549300BOELL93IDPTJ73,1175483,5/8/2017
DSCI,Derma Sciences Inc,,892160,11/9/2016
DSCO,Windtree Therapeutics Inc,,946486,5/15/2017
DSE,Duff & Phelps Select Energy MLP Fund Inc.,,,
DSGX,Descartes Systems Group Inc,,1050140,
DSKX,DS Healthcare Group Inc,,1463959,5/15/2017
DSKY,iDreamSky Technology Ltd,549300XL3Z7E5R21IN62,1600527,
DSL,DoubleLine Income Solutions Fund,,,
DSM,Dreyfus Strategic Municipal Bond,,855887,
DSPG,DSP Group Inc,,915778,5/10/2017
DSS,Document Security Systems Inc,,771999,5/15/2017
DST,DST Systems Inc,,714603,5/10/2017
DSU,BlackRock Debt Strategies Fund Inc,,,
DSW,DSW Inc,549300X8J6FI8PPRK859,1319947,5/25/2017
DSWL,Deswell Industries Inc,,946936,
DSX,Diana Shipping Inc,549300XD7FHNJ0THIV12,1318885,
DTE,DTE Energy Co,549300IX8SD6XXD71I78,936340,4/26/2017
DTEA,DAVIDsTEA Inc,549300BWGV3Z6SBKQB54,1627606,6/7/2017
DTF,Duff & Phelps Tax-free Income,,,
DTK,Deutsche Bank Contingent Capital Trust III,,,
DTLK,Datalink Corp,,1056923,11/9/2016
DTO,DB Crude Oil Double Short ETN,,,
DTSI,DTS Inc,,1226308,11/7/2016
DTUL,iPath US Treasury 2-year Bull ETN,,,
DTUS,iPath US Treasury 2-year Bear ETN,,,
DTV,DTE Energy Co,,1465112,8/7/2015
DTYL,iPath US Treasury 10-year Bull ETN,,,
DTYS,iPath US Treasury 10-year Bear ETN,,,
DUC,Duff & Phelps Utility & Corporate Bond,,,
DUK,Duke Energy Corp,I1BZKREC126H0VB1BL91,1326160,5/9/2017
DV,DeVry Education Group Inc,549300Z467EZLMODV621,730464,5/4/2017
DVA,Davita Inc,M2XHYMU3TZNEZURC6H66,927066,5/2/2017
DVAX,Dynavax Technologies Corp,549300T5URIXWDILX594,1029142,5/8/2017
DVCR,Diversicare Healthcare Services Inc,,919956,5/4/2017
DVD,Dover Motorsports Inc,,1017673,5/4/2017
DVHI,UBS ETRACS Diversified High Income ETN,,,
DVHL,UBS ETRACS M Py 2xLvg Divers Hi Inc ETN,,,
DVMT,Dell Technologies Inc,,1571996,6/9/2017
DVN,Devon Energy Corp,54930042348RKR3ZPN35,1090012,5/3/2017
DVYL,UBS ETRACS Mthly Py 2xLvg DJ Sel Div ETN,,,
DWA,DreamWorks Animation SKG Inc,549300UU8WEFIA03J487,1297401,8/3/2016
DWCH,Datawatch Corp,,792130,4/28/2017
DWRE,Demandware Inc ,549300VXAFQU48T8DG35,1301031,4/28/2016
DWSN,Dawson Geophysical Co,549300R9G1EAMSMLXR09,799165,5/9/2017
DWTI,VelocityShares 3x Inverse Crude Oil ETN,,,
DX,Dynex Capital Inc,5CIJ4S9HAEBWILA19B65,826675,5/10/2017
DXB,Deutsche Bank Contingent Capital Trust II,,,
DXCM,DexCom Inc,,1093557,5/2/2017
DXI,DXI Energy Inc,,,
DXLG,Destination XL Group Inc,,813298,5/19/2017
DXM,Dex Media Inc ,,1556739,11/6/2015
DXPE,DXP Enterprises Inc,,1020710,5/15/2017
DXR,Daxor Corp,,27367,3/28/2012
DXYN,Dixie Group Inc,549300MLTT5S33W3Q656,29332,5/4/2017
DY,Dycom Industries Inc,549300F56EKTHQI3WT60,67215,5/26/2017
DYAX,Dyax Corp ,,907562,11/6/2015
DYN,Dynegy Inc,KBIQURE23BXCOWVJ9H03,1379895,5/5/2017
DYNT,Dynatronics Corp,,720875,5/15/2017
DYSL,Dynasil Corporation of America,,30831,5/15/2017
DYY,DB Commodity Double Long ETN,,,
DZSI,Zhone Technologies Inc,,1101680,11/15/2016
DZZ,DB Gold Double Short ETN,,,
E,Eni SpA,BUCRF72VH5RBN7X3VL35,1002242,
EA,Electronic Arts Inc,549300O7A67PUEYKDL45,712515,5/24/2017
EAA,Entergy Arkansas Inc,KYX6QEFGFXUFFAWLGG05,7323,5/5/2017
EAC,Erickson Inc,54930048K1C8M9G3EI51,1490165,8/15/2016
EACQU,Easterly Acquisition Corp,,1641197,5/10/2017
EAD,Wells Fargo Income Opportunities Fund,,,
EAGL,Double Eagle Acquisition Corp,,1647088,5/10/2017
EAGLU,Double Eagle Acquisition Corp,,,
EARN,Ellington Residential Mortgage REIT,549300KA3MR2ZCRGA787,1560672,5/5/2017
EARS,Auris Medical Holding AG,549300JFK0RDL3EKDH83,1601936,
EAT,Brinker International Inc,,703351,5/5/2017
EBAY,eBay Inc,OML71K8X303XQONU6T67,1065088,4/20/2017
EBF,Ennis Inc,,33002,7/7/2017
EBIO,Eleven Biotherapeutics Inc,549300DGKHONOZQIY116,1485003,5/4/2017
EBIX,Ebix Inc,549300DHXVZR5SW5QR44,814549,5/10/2017
EBMT,Eagle Bancorp Montana Inc,549300P2SVRIY3YU1412,1478454,5/9/2017
EBR,Centrais Eletricas Brasileiras SA,,1439124,
EBS,Emergent BioSolutions Inc,549300YW6TUOX8BE5103,1367644,5/5/2017
EBSB,Meridian Bancorp Inc,,1600125,5/9/2017
EBTC,Enterprise Bancorp Inc,,1018399,5/8/2017
EC,Ecopetrol SA,,1444406,
ECA,Encana Corp,CZ72ZHBVKZXQRV3XFE26,1157806,5/4/2017
ECACU,E-Compass Acquisition Corp,,1625042,11/14/2016
ECC,Eagle Point Credit Co LLC,,1604174,
ECCB,Eagle Point Credit Company Inc,,,
ECCZ,Eagle Point Credit Company Inc,,,
ECF,Ellsworth Growth and Income Fund Ltd,,,
ECHO,Echo Global Logistics Inc,,1426945,4/27/2017
ECL,Ecolab Inc,82DYEISM090VG8LTLS26,31462,5/4/2017
ECOL,US Ecology Inc,549300DG4KZA2L1YBS33,742126,5/1/2017
ECOM,ChannelAdvisor Corp,549300KE5CWXBSGWXT83,1169652,5/4/2017
ECPG,Encore Capital Group Inc,5493000UVC6H49CIH830,1084961,5/4/2017
ECR,Eclipse Resources Corp,54930070862I62NN3X72,1600470,5/9/2017
ECT,ECA Marcellus Trust I,549300TUWTJF4UM52526,1487798,5/10/2017
ECTE,Echo Therapeutics Inc,,1031927,11/16/2016
ECYT,Endocyte Inc,,1235007,5/10/2017
ED,Consolidated Edison Inc,54930033SBW53OO8T749,1047862,5/4/2017
EDAP,Edap Tms SA,,1041934,
EDD,Morgan Stanley Emerging Markets Domestic Fund,,,
EDE,Empire District Electric Co,SODDIORBUCWXMHSFJ978,32689,11/7/2016
EDF,Stone Harbor Emerging Markets Income Fund,,,
EDGE,Edge Therapeutics Inc,5493002KU8ACFTSMC935,1472091,5/3/2017
EDGW,Edgewater Technology Inc,,1017968,5/5/2017
EDI,Stone Harbor Emerging Markets Total Income Fund,,,
EDIT,Editas Medicine Inc,,1650664,5/15/2017
EDN,Empresa Distribuidora y Comercializadora Norte SA,,1395213,
EDR,Education Realty Trust Inc,,1302343,5/1/2017
EDS,Exceed Company Ltd ,,1396016,10/16/2009
EDU,New Oriental Education & Technology Group Inc,,1372920,
EDUC,Educational Development Corp,,31667,7/17/2017
EE,El Paso Electric Co,OZ8GM8L4AHPKSWZMW205,31978,5/5/2017
EEA,The European Equity Fund Inc,5493008XBHSH29XH9329,791718,
EEFT,Euronet Worldwide Inc,YG3575C4DSHJPA5KET68,1029199,5/2/2017
EEH,ELEMENTS SPECTRUM Lg Cp US Sect Mom ETN,,,
EEI,Ecology and Environment Inc,,809933,6/13/2017
EEP,Enbridge Energy Partners LP,CZ6VG2MNE1J6YDI02G48,880285,5/10/2017
EEQ,Enbridge Energy Management LLC,,1173911,5/10/2017
EFC,Ellington Financial LLC,60GS1D1R1YY5G1W7IT74,1411342,5/10/2017
EFF,Eaton Vance Floating-Rate Income Plus Fund,,,
EFII,Electronics for Imaging Inc,549300PN42C4XYPSEV84,867374,5/2/2017
EFOI,Energy Focus Inc,549300WYLQHXWY3CWZ38,924168,5/4/2017
EFR,Eaton Vance Senior Floating-Rate Trust,,,
EFSC,Enterprise Financial Services Corp,,1025835,4/28/2017
EFT,Eaton Vance Floating-Rate Income Trust,,,
EFUT,eFuture Holding Inc,,1329365,
EFX,Equifax Inc,5493004MCF8JDC86VS77,33185,4/27/2017
EGAN,eGain Corp,,1066194,5/10/2017
EGAS,Gas Natural Inc,,43350,5/10/2017
EGBN,Eagle Bancorp Inc,549300B47NZODRMG3D47,1050441,5/10/2017
EGF,BlackRock Enhanced Government Fund Inc.,,,
EGHT,8x8 Inc,,1023731,5/30/2017
EGI,Entree Gold Inc,,1271554,8/13/2008
EGIF,Eagle Growth and Income Opportunities Fund,,,
EGL,Engility Holdings Inc,549300DTJSGHLBZV3R70,1544229,5/4/2017
EGLE,Eagle Bulk Shipping Inc,,1322439,5/9/2017
EGLT,Egalet Corp,549300DGJO4K1JHYAA38,1586105,5/10/2017
EGN,Energen Corp,5493002ES6YDYGYRKG86,277595,5/9/2017
EGO,Eldorado Gold Corp,5493004PWQ01YDD1IH62,918608,
EGOV,NIC Inc,,1065332,5/2/2017
EGP,Eastgroup Properties Inc,31TIGQQZC4P6JMHKSW85,49600,4/24/2017
EGRX,Eagle Pharmaceuticals Inc,549300TN20OLYTJVP152,827871,5/8/2017
EGT,Entertainment Gaming Asia Inc,549300O2KPMC0PZ3UP12,1004673,5/15/2017
EGY,VAALCO Energy Inc,549300CFHFVIWB8M6T24,894627,5/8/2017
EHI,Western Asset Global High Income Fund,549300JWVV1XIQ66WD13,1228509,
EHIC,eHi Car Services Ltd,549300S8KJWK9EJS6Z44,1517492,
EHT,Eaton Vance High Income 2021 Target Term Trust,,,
EHTH,Ehealth Inc,,1333493,5/5/2017
EIA,Eaton Vance California Municipal Bond Fund II,,,
EIG,Employers Holdings Inc,,1379041,4/27/2017
EIGI,Endurance International Group Holdings Inc,549300UTQC2651SB0W88,1237746,5/9/2017
EIM,Eaton Vance Municipal Bond Fund,5493006Q4EBOXVQBQD12,1176984,
EIO,Eaton Vance Ohio Municipal Bond Fund,,,
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,,,
EIV,Eaton Vance Municipal Bond Fund II,,,
EIX,Edison International,,827052,5/1/2017
EJ,E-House China Holdings Ltd,,1405658,
EKSO,Ekso Bionics Holdings Inc,,1549084,5/9/2017
EL,Estee Lauder Companies Inc,549300VFZ8XJ9NUPU221,1001250,5/3/2017
ELA,"Entergy Louisiana, Llc",0V5453U14HDZO63CGH17,1348952,5/5/2017
ELB,Entergy Louisiana LLC,,60527,5/10/2006
ELC,Entergy Louisiana LLC,,1021422,11/21/2011
ELECU,Electrum Special Acquisition Corp,,1639669,7/7/2017
ELF,e.l.f. Beauty Inc,,1600033,5/12/2017
ELGX,Endologix Inc,54930019J6DOUCNZDI85,1013606,5/5/2017
ELLI,Ellie Mae Inc,,1122388,5/2/2017
ELLO,Ellomay Capital Ltd,,946394,
ELMD,Electromed Inc,,1488917,5/15/2017
ELNK,Earthlink Holdings Corp,549300D94AA0WSMRET75,1102541,2/24/2017
ELON,Echelon Corp,549300PTSGJIQ6DISV79,31347,5/11/2017
ELOS,Syneron Medical Ltd,,1291361,
ELP,Companhia Paranaense de Energia,,924250,
ELRC,Electro Rent Corp,549300L5Z681EV5LDY95,32166,8/9/2016
ELS,Equity LifeStyle Properties Inc,,895417,5/3/2017
ELSE,Electro-Sensors Inc,,351789,5/11/2017
ELTK,Eltek Ltd,,1024672,
ELX,Emulex Corporation,,350917,5/4/2015
ELY,Callaway Golf Co,5493005UB0KFRKBPCU72,837465,5/9/2017
EMAN,eMagin Corp,,1046995,5/11/2017
EMC,EMC Corp,KDMDXRWU7UTJ30FC8R59,790070,8/8/2016
EMCF,Emclaire Financial Corp,,858800,5/12/2017
EMCI,EMC Insurance Group Inc,,356130,5/5/2017
EMD,Western Asset Emerging Markets Income,549300CU5O287B86W321,902978,
EME,EMCOR Group Inc,,105634,4/27/2017
EMES,Emerge Energy Services LP,549300ACHJ087QYYKP06,1555177,5/4/2017
EMF,Templeton Emerging Markets Fund Inc.,,,
EMI,Eaton Vance Michigan Municipal Income Trust,,,
EMITF,Elbit Imaging Ltd,549300UWRB10FFBCZQ53,1027662,
EMJ,Eaton Vance New Jersey Municipal Bond Fund,,,
EMKR,EMCORE Corp,,808326,5/4/2017
EML,Eastern Co,,31107,5/5/2017
EMLB,iPath Long Enhanced MSCI Emerg Mkts ETN,,,
EMMS,Emmis Communications Corp,D4460PKD5XG25GNWT422,783005,7/13/2017
EMN,Eastman Chemical Co,FDPVHDGJ1IQZFK9KH630,915389,5/5/2017
EMO,ClearBridge Energy MLP Opportunity Fund,,1517518,
EMQ,Entergy Mississippi Inc,FKUZOUT82DOBGXFS6K20,66901,5/5/2017
EMR,Emerson Electric Co,FGLT0EWZSUIRRITFOA30,32604,5/4/2017
EMSA,iPath Short Enh MSCI Emerg Mkts ETN,,,
EMX,Eurasian Minerals Inc,,1285786,
ENB,Enbridge Inc,98TPTUM4IVMFCZBCUR27,895728,
ENBL,Enable Midstream Partners LP,549300TLGDBYE711G509,1591763,5/3/2017
ENCR,Ener-Core Inc ,,1495536,5/19/2017
ENDP,Endo International PLC,5493007TBMWZWGZIB256,1593034,5/9/2017
ENFC,Entegra Financial Corp,,1522327,5/10/2017
ENG,ENGlobal Corp,,933738,5/11/2017
ENH,Endurance Specialty Holdings Ltd,,1179755,5/10/2017
ENI,Enel Americas SA,,912505,
ENIC,Enersis Chile SA,,1659939,
ENJ,Entergy New Orleans Inc,1Q8BAFRNDFTDI3IGJH73,71508,5/5/2017
ENLC,EnLink Midstream LLC,,1592000,5/3/2017
ENLK,EnLink Midstream Partners LP,88CPW63VL7KHJWS0NY83,1179060,5/3/2017
ENOC,EnerNOC Inc,549300XD2LTN7FGWHK96,1244937,5/10/2017
ENPH,Enphase Energy Inc,5493008U7KIGMI59Z314,1463101,5/10/2017
ENR,Energizer Holdings Inc,5493000D6NN0V57UME20,1632790,5/3/2017
ENRJ,EnerJex Resources Inc,5493007TRVZ53BHRWE03,8504,5/15/2017
ENS,EnerSys,7ZS3DE5PN30BYUJFWP05,1289308,5/30/2017
ENSG,Ensign Group Inc,5493003K4HEEA8Q0BC72,1125376,5/1/2017
ENSV,Enservco Corp,549300WG7L7HUSMVC188,319458,5/12/2017
ENT,Global Eagle Entertainment Inc,5493000LLKPEGV8XVG26,1512077,11/9/2016
ENTA,Enanta Pharmaceuticals Inc,,1177648,5/10/2017
ENTG,Entegris Inc,IYX6OWO7BT5DKO3BYG52,1101302,4/27/2017
ENTL,Entellus Medical Inc,549300PSNHNLU4B1DV02,1374128,5/5/2017
ENTR,"Entropic Communications, Inc.",,1227930,2/24/2015
ENV,Envestnet Inc,549300HLWZ5OKIDM8737,1337619,5/10/2017
ENVA,Enova International Inc,549300O8XOCQSB49UO63,1529864,5/3/2017
ENVI,Envivio Inc ,,1174266,9/11/2015
ENX,Eaton Vance New York Municipal Bond Fund,,,
ENZ,Enzo Biochem Inc,,316253,6/8/2017
ENZN,Enzon Pharmaceuticals Inc ,,727510,5/11/2017
ENZY,Enzymotec Ltd,,1578809,
EOC,Enel Generacion Chile SA,549300PVHXUFEIE6LY50,926864,
EOCA,Endesa Americas SA,,1660078,
EOD,Wells Fargo Global Dividend Opportunity Fund,,,
EOG,EOG Resources Inc,XWTZDRYZPBUHIQBKDB46,821189,5/8/2017
EOI,Eaton Vance Enhanced Equity Income Fund,,,
EOS,Eaton Vance Enhanced Equity Income Fund II,,,
EOT,Eaton Vance National Municipal Opportunities Trust,,,
EOX,Emerald Oil Inc ,,1283843,11/6/2015
EPAM,EPAM Systems Inc,549300XCR4R530HJP604,1352010,5/8/2017
EPAX,Ambassadors Group Inc ,549300OB7VCY3YPDVO02,1162315,11/16/2015
EPAY,Bottomline Technologies (DE) Inc,OJ3Q4KYIXDSSGURLMT36,1073349,5/9/2017
EPC,Edgewell Personal Care Co,549300CY8QZDL4Z3RU59,1096752,5/4/2017
EPD,Enterprise Products Partners LP,K4CDIF4M54DJZ6TB4Q48,1061219,5/8/2017
EPE,EP Energy Corp,549300Z6HPQS1H5IYQ07,1584952,5/4/2017
EPIQ,Epiq Systems Inc,I5PAA1AT6EWYG27J8V27,1027207,8/9/2016
EPIX,ESSA Pharma Inc,,1027702,5/11/2009
EPM,Evolution Petroleum Corp,549300P9ZXGJZ6SSM116,1006655,5/9/2017
EPR,EPR Properties,549300YSSXFHMPOWZ492,1045450,5/3/2017
EPRS,EPIRUS Biopharmaceuticals Inc,549300B6OBAWAZGW2N50,1135906,5/10/2016
EPZM,Epizyme Inc,549300TNFWF88O4U4605,1571498,5/8/2017
EQBK,Equity Bancshares Inc,549300BPQ2EJNU4WF694,1227500,5/10/2017
EQC,Equity Commonwealth,,803649,5/4/2017
EQFN,Equitable Financial Corp,,1635626,5/12/2017
EQGP,EQT GP Holdings LP,,1632933,4/27/2017
EQIX,Equinix Inc,549300EVUN2BTLJ3GT74,1101239,5/5/2017
EQM,EQT Midstream Partners LP,,1540947,4/27/2017
EQR,Equity Residential,,906107,5/4/2017
EQS,EQUUS Total Return Inc,,878932,5/15/2017
EQT,EQT Corp,4NT01YGM4X7ZX86ISY52,33213,4/27/2017
EQY,Equity One Inc,54930052LBJBIKJPIO43,1042810,2/28/2017
ERA,Era Group Inc,,1525221,5/2/2017
ERB,ERBA Diagnostics Inc,,1095858,8/5/2015
ERC,Wells Fargo Multi-Sector Income Fund,,,
ERF,Enerplus Corp,549300OEXJU0X6FYBQ42,1126874,
ERH,Wells Fargo Utilities and High Income Fund,,,
ERI,Eldorado Resorts Inc,,1590895,5/10/2017
ERIC,Telefonaktiebolaget LM Ericsson,549300W9JLPW15XIFM52,717826,
ERIE,Erie Indemnity Co,,922621,5/1/2017
ERII,Energy Recovery Inc,549300ZEQL52Z525WJ22,1421517,5/4/2017
ERJ,Embraer SA,,1355444,
ERO,iPath EUR/USD Exchange Rate ETN,,,
EROC,Eagle Rock Energy Partners LP ,9JBID15KK3RNPBKP6U32,1364541,7/31/2015
EROS,Eros International PLC,,1532981,
ERS,Empire Resources Inc,549300UPJCM06YDHN048,1019272,3/31/2017
ES,Eversource Energy,SJ7XXD41SQU3ZNWUJ746,72741,5/5/2017
ESBA,Empire State Realty OP LP,549300JHBOF3KL3CI814,1553079,5/3/2017
ESBK,Elmira Savings Bank,,877808,
ESCA,Escalade Inc,,33488,4/20/2017
ESCR,Escalera Resources Co ,,29834,11/23/2015
ESD,Western Asset Emerging Markets Debt Fund Inc,549300F68574RU1BKP84,1227862,
ESE,ESCO Technologies Inc,5493007JJLP5MEWVDH10,866706,5/9/2017
ESEA,Euroseas Ltd,,1341170,
ESES,Eco-Stim Energy Solutions Inc,,1135657,5/15/2017
ESGR,Enstar Group Ltd,,1363829,5/8/2017
ESI,ITT Educational Services Inc,,922475,7/29/2016
ESIO,Electro Scientific Industries Inc,549300PGXKEY7VEHBK50,726514,6/14/2017
ESL,Esterline Technologies Corp,549300TS340K3LI25S90,33619,5/5/2017
ESLT,Elbit Systems Ltd,,1027664,
ESMC,Escalon Medical Corp,,862668,5/15/2017
ESND,Essendant Inc,549300IDZDSRKXRKTE12,355999,4/27/2017
ESNT,Essent Group Ltd,,1448893,5/9/2017
ESP,Espey MFG and Electronics Corp,,33533,5/11/2017
ESPR,Esperion Therapeutics Inc,549300OFU56UKEWVUS92,1434868,5/4/2017
ESRT,Empire State Realty Trust Inc,549300VOKY1DUEQSB456,1541401,5/3/2017
ESRX,Express Scripts Holding Co,5493003UA6VMND084504,1532063,4/24/2017
ESS,Essex Property Trust Inc,,920522,5/1/2017
ESSA,ESSA Bancorp Inc,,1382230,5/10/2017
ESSX,Essex Rental Corp ,,1373988,11/4/2015
ESTE,Earthstone Energy Inc,54930081UTV7CK45XG14,10254,5/8/2017
ESV,Ensco PLC,7N0UJMJLXD0MDT5D5086,314808,4/27/2017
ESXB,Community Bankers Trust Corp,,1323648,5/9/2017
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,,,
ETE,Energy Transfer Equity LP,MTLVN9N7JE8MIBIJ1H73,1276187,5/4/2017
ETF,"Aberdeen Emerging Markets Smaller Co Opportunities Fund, Inc.",,913662,
ETFC,E*TRADE Financial Corp,549300LYE2HSVYJFJD24,1015780,5/4/2017
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,,,
ETH,Ethan Allen Interiors Inc,,896156,4/27/2017
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,,,
ETM,Entercom Communications Corp,,1067837,5/9/2017
ETN,Eaton Corporation PLC,549300VDIGTMXUNT7H71,1551182,5/2/2017
ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,,,
ETP,Energy Transfer Partners LP,RY1052DWLDPLDW74Y843,1012569,5/4/2017
ETR,Entergy Corp,4XM3TW50JULSLG8BNC79,65984,5/5/2017
ETRM,EnteroMedics Inc,54930062V8N9YRX8R388,1371217,5/15/2017
ETSY,Etsy Inc,54930089Q7XT501AEA40,1370637,5/2/2017
ETX,Eaton Vance Municipal Income 2028 Term Trust,,,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,,,
EURN,Euronav NV,549300D80RYON74MEJ03,1604481,
EV,Eaton Vance Corp,4JJ8ORNW1AFZPSV8GJ79,350797,6/7/2017
EVA,Enviva Partners LP,549300WH5VXDEFM5KR81,1592057,5/10/2017
EVAR,Lombard Medical Inc,,1597426,
EVBG,Everbridge Inc,,,
EVBN,Evans Bancorp Inc,,842518,5/2/2017
EVBS,Eastern Virginia Bankshares Inc,549300VP7AD9L9J1W919,1047170,5/8/2017
EVC,Entravision Communications Corp,549300SKHY2ALCLKV539,1109116,5/5/2017
EVDY,Everyday Health Inc,549300YYYRKJ4CQ8D086,1358483,11/8/2016
EVEP,EV Energy Partners LP,,1361937,5/10/2017
EVER,EverBank Financial Corp,549300ZSQX8IP0RAE826,1502749,4/28/2017
EVF,Eaton Vance Senior Income Trust,,1070732,
EVG,Eaton Vance Short Duration Diversified Income Fund,,,
EVGBC,Eaton Vance Global Income Builder NextShares,,,
EVGN,Evogene Ltd,,1574565,
EVH,Evolent Health Inc,,1628908,5/10/2017
EVHC,Envision Healthcare Corp,,1578318,11/3/2016
EVI,Envirostar Inc,,65312,5/15/2017
EVJ,Eaton Vance New Jersey Municipal Income Trust,,,
EVK,Ever-Glory International Group Inc,,943184,5/12/2017
EVLMC,Eaton Vance TABS 5-15 Yr Laddered Muni Bd NxtShs,,,
EVLV,EVINE Live Inc,,870826,6/1/2017
EVM,Eaton Vance California Municipal Bond Fund,,,
EVN,Eaton Vance Municipal Income Trust,,,
EVO,Eaton Vance Ohio Municipal Income Trust,,,
EVOK,Evoke Pharma Inc,,1403708,5/15/2017
EVOL,Evolving Systems Inc,,1052054,5/11/2017
EVP,Eaton Vance Pennsylvania Municipal Income Trust,,,
EVR,Evercore Partners Inc,,1360901,5/9/2017
EVSTC,Eaton Vance Stock NextShares,,,
EVT,Eaton Vance Tax-Advantaged Dividend Income Fund,,,
EVTC,Evertec Inc,,1559865,5/5/2017
EVV,Eaton Vance Limited Duration Income Fund,NZ7KR43H6Z5W1GY0QX46,1222922,
EVY,Eaton Vance New York Municipal Income Trust,,,
EW,Edwards Lifesciences Corp,YA13X31F3V31L8TMPR58,1099800,4/28/2017
EWBC,East West Bancorp Inc,,1069157,5/9/2017
EXA,Exa Corp,,890264,5/24/2017
EXAC,Exactech Inc,549300B1BI1XN672F813,913165,5/3/2017
EXAM,ExamWorks Group Inc,VPQEY6SB0BUIVT13IV95,1498021,5/10/2016
EXAR,Exar Corp,549300RJBN2RGOX13L66,753568,2/3/2017
EXAS,Exact Sciences Corp,,1124140,4/27/2017
EXC,Exelon Corp,3SOUA6IRML7435B56G12,1109357,5/3/2017
EXD,Eaton Vance Tax-Advantaged Bond and Options Strategies Fund,,,
EXEL,Exelixis Inc,,939767,5/1/2017
EXFO,EXFO Inc,549300NZ7SG77DGFZD61,1116284,
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,,,
EXH,Archrock Inc,549300K3RIHMHDVFTL28,1389050,5/4/2017
EXK,Endeavour Silver Corp,,1277866,
EXL,Excel Trust Inc ,,1478950,7/30/2015
EXLP,Archrock Partners LP,549300YFKOM2XNCKQU76,1367064,5/4/2017
EXLS,Exlservice Holdings Inc,81E3DTNF6OSH489ZOV15,1297989,5/2/2017
EXP,Eagle Materials Inc,,918646,5/24/2017
EXPD,Expeditors International of Washington Inc,,746515,5/4/2017
EXPE,Expedia Inc,CI7MUJI4USF3V0NJ1H64,1324424,4/28/2017
EXPO,Exponent Inc,,851520,5/5/2017
EXPR,Express Inc,,1483510,6/7/2017
EXR,Extra Space Storage Inc,,1289490,5/5/2017
EXTN,Exterran Corp,,1635881,5/4/2017
EXTR,Extreme Networks Inc,549300WRECW11X94UB57,1078271,5/4/2017
EXXI,Energy XXI Gulf Coast Inc,,1343719,11/14/2016
EYEG,EyeGate Pharmaceuticals Inc,549300395G8DB8ZFV365,1372514,5/5/2017
EYES,Second Sight Medical Products Inc,,1266806,5/9/2017
EZCH,EZchip Semiconductor Ltd ,,892534,
EZPW,EZCORP Inc,5493003K6PG3ZQ7TUQ63,876523,5/3/2017
EZT,Entergy Texas Inc,LWXX58X12AJXISQ28573,1427437,5/5/2017
F,Ford Motor Co,20S05OYHG0MQM4VUIC57,37996,4/27/2017
FAC,First Acceptance Corp,,1017907,5/9/2017
FAF,First American Financial Corp,549300B6VEZK3N0A1P55,1472787,4/27/2017
FALC,FalconStor Software Inc,,922521,5/5/2017
FAM,First Trust/Aberdeen Global Opportunity Income Fund,2HCZRZBY990FDYBUS727,1302624,
FANG,Diamondback Energy Inc,549300R22LSX6OHWEN64,1539838,5/4/2017
FANH,Fanhua Inc,,,
FANH,CNinsure Inc,,1413855,
FARM,Farmer Bros. Co,5493006PMLETBTVJ3262,34563,5/10/2017
FARO,FARO Technologies Inc,,917491,5/9/2017
FAST,Fastenal Co,,815556,7/17/2017
FATE,Fate Therapeutics Inc,549300L14Q4UHOODLA90,1434316,5/15/2017
FAV,First Trust Dividend and Income Fund,549300WKCNS6YOB06X37,1403275,
FAX,Aberdeen Asia-Pacific Income Fund Inc,,,
FB,Facebook Inc,BQ4BKCS1HXDV9HN80Z93,1326801,5/4/2017
FBC,Flagstar Bancorp Inc,,1033012,5/8/2017
FBG,UBS AG FI Enhanced Big Cap Growth ETN,,,
FBGX,UBS AG FI Enhanced Large Cap Growth ETN,,,
FBHS,Fortune Brands Home & Security Inc,54930032LHW54PQUJD44,1519751,5/2/2017
FBIZ,First Business Financial Services Inc ,,1521951,4/28/2017
FBK,FB Financial Corp,,1649749,5/12/2017
FBMS,First Bancshares Inc,,947559,5/10/2017
FBNC,First Bancorp,549300QGC3EY3EV0NS72,811589,5/10/2017
FBNK,First Connecticut Bancorp Inc,,1511198,5/4/2017
FBP,First Bancorp,,1057706,5/10/2017
